retweet_count,favorite_count,length,user_followers_count,user_friends_count,user_statuses_count,user_verified,statuses/followers_count,friends/followers_count,Final Label
0,1,90,299,410,3585,0,11.99,1.37,1
0,0,132,13095,768,53691,1,4.1,0.06,1
0,0,112,4261,3956,48019,0,11.27,0.93,1
0,0,89,220,683,5649,0,25.68,3.1,1
0,0,97,1146,5000,69033,0,60.24,4.36,1
0,0,138,609,861,22625,0,37.15,1.41,1
0,0,81,1853,1877,20244,0,10.92,1.01,1
0,0,144,1735,1822,6475,0,3.73,1.05,1
0,1,139,108,56,237,0,2.19,0.52,1
1,0,107,48398,6575,673003,1,13.91,0.14,1
0,0,87,233974,125844,295110,0,1.26,0.54,1
0,0,127,7,17,225,0,32.14,2.43,0
1,2,108,2278,1977,27898,0,12.25,0.87,1
0,0,121,1159,575,53295,0,45.98,0.5,0
0,0,140,56,17,315,0,5.63,0.3,1
0,0,117,6690,1211,8815,0,1.32,0.18,1
0,0,78,2389,17,4091,1,1.71,0.01,1
0,1,140,370,87,980,0,2.65,0.24,0
1,0,100,1019,887,19480,0,19.12,0.87,0
0,0,88,133,208,2460,0,18.5,1.56,1
0,0,123,1103,1086,103,0,0.09,0.98,1
0,0,87,338672,71976,283266,0,0.84,0.21,1
0,0,139,339,81,1204,0,3.55,0.24,1
5,8,136,75459,7683,10155,1,0.13,0.1,1
0,0,90,59932,467,111195,0,1.86,0.01,1
0,3,140,603,75,624,0,1.03,0.12,0
0,0,87,251561,168218,270324,0,1.07,0.67,1
0,0,139,9777,6373,4582,1,0.47,0.65,1
0,0,140,143163,19711,15617,0,0.11,0.14,0
0,0,102,168323,54607,699947,0,4.16,0.32,1
0,0,139,6509,52,371980,0,57.15,0.01,0
0,0,128,607,1038,147094,0,242.33,1.71,1
1,1,110,2665,55,13473,0,5.06,0.02,0
3,0,104,4025,1693,5456,1,1.36,0.42,1
0,0,112,4261,3956,48019,0,11.27,0.93,1
0,1,136,2025,1880,4150,0,2.05,0.93,0
1,1,140,11704,2886,12513,1,1.07,0.25,0
1,0,130,194,598,171,0,0.88,3.08,1
0,0,110,1713,56,11462,0,6.69,0.03,0
12,4,143,9169,22,28325,0,3.09,0,0
0,0,118,8265,304,35508,0,4.3,0.04,0
4,13,140,55902,1461,11835,1,0.21,0.03,1
0,2,126,137090,135621,188455,0,1.37,0.99,1
0,0,109,2006,270,35512,0,17.7,0.13,1
0,0,137,257,478,11536,0,44.89,1.86,1
0,0,84,245,218,12356,0,50.43,0.89,1
0,0,118,565,0,558908,0,989.22,0,1
1,0,135,2533,552,4308,1,1.7,0.22,1
0,0,139,1178,897,14813,0,12.57,0.76,1
0,1,140,611,626,2784,0,4.56,1.02,1
0,0,117,2671,2193,17766,0,6.65,0.82,1
0,0,104,316,764,6207,0,19.64,2.42,0
1,0,116,30968,4120,1392946,0,44.98,0.13,0
0,1,132,187,175,6107,0,32.66,0.94,0
0,2,75,607,533,14781,0,24.35,0.88,1
0,0,117,36,770,1211,0,33.64,21.39,1
3,4,112,18564,11218,27973,0,1.51,0.6,1
0,0,112,91,591,544,0,5.98,6.49,1
0,1,139,4000,1861,26781,0,6.7,0.47,1
0,0,92,623,699,30812,0,49.46,1.12,0
3,3,117,8417,8393,85809,0,10.19,1,1
0,1,101,2034,3292,188059,0,92.46,1.62,1
5,6,140,203,33,284,0,1.4,0.16,0
1,2,127,828,480,3096,0,3.74,0.58,1
0,0,133,2033,1855,11859,0,5.83,0.91,0
0,2,139,7803,701,16832,0,2.16,0.09,1
0,0,137,1046,420,7162,0,6.85,0.4,0
0,0,112,608,493,44814,0,73.71,0.81,1
0,0,108,13727,12376,32813,0,2.39,0.9,1
0,0,87,3430,1510,117808,0,34.35,0.44,1
0,0,133,878,59,21597,0,24.6,0.07,1
3,10,131,308521,465,44792,0,0.15,0,0
0,0,140,2467,570,9629,1,3.9,0.23,0
0,0,108,2112,2260,7825,0,3.71,1.07,1
0,0,63,220,43,685,0,3.11,0.2,1
0,0,106,50,79,6241,0,124.82,1.58,0
0,0,137,1698,17,26431,0,15.57,0.01,1
0,0,140,46,46,21054,0,457.7,1,0
2,1,90,3059,654,22886,0,7.48,0.21,1
0,0,103,806,611,1569,0,1.95,0.76,0
0,0,135,3722,4978,2827,0,0.76,1.34,0
0,0,133,19,68,43,0,2.26,3.58,0
0,0,140,336,115,4737,0,14.1,0.34,1
0,0,122,455,501,37939,0,83.38,1.1,1
2,2,109,43853,754,10496,0,0.24,0.02,0
0,0,104,3330,3099,2656,0,0.8,0.93,0
1,1,96,5679,3033,46291,0,8.15,0.53,1
0,0,140,2538,1370,38949,0,15.35,0.54,1
0,0,121,2131,1998,3542,0,1.66,0.94,0
0,1,107,6158,11,9471,0,1.54,0,1
0,0,98,254,1012,2417,0,9.52,3.98,1
0,0,108,1539,97,72117,0,46.86,0.06,1
0,1,65,3477,3443,64012,0,18.41,0.99,1
0,0,134,3271,13,205746,0,62.9,0,0
0,0,134,194,101,632,0,3.26,0.52,0
0,0,137,350,1029,47759,0,136.45,2.94,1
0,0,139,616,1025,27295,0,44.31,1.66,1
0,0,114,14968,126,42992,0,2.87,0.01,0
0,0,138,1284,368,1868,0,1.45,0.29,1
0,0,88,62,10,544,0,8.77,0.16,1
1,0,119,30968,4120,1392946,0,44.98,0.13,0
0,2,102,299,225,27990,0,93.61,0.75,1
0,0,92,5150,277,10630,0,2.06,0.05,1
0,0,123,93,116,680,0,7.31,1.25,1
0,1,140,625,291,1530,0,2.45,0.47,0
0,0,138,15361,2788,15557,1,1.01,0.18,1
